Protein ID	Description	Peptides	Frames	Hits	Ratio AS-0/C-0	StDev	pValue	Fraction 1D_2D									
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	3	15	1.446	0.011	1.03E-14	B_38_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	4	0.476	0.066	1.46E-04	B_38_03
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	3	9	0.949	0.047	1.74E-08	B_40_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	5	0.806	0.008	3.50E-09	B_41_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	2	1.385	0.036	7.91E-03	B_23_20
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	1.87	0.045	2.59E-03	B_20_23
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	3	2.101	0.046	8.06E-07	B_21_22
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	0.689	0.059	3.06E-02	B_22_21
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0.322	0.083	5.89E-03	B_23_22
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	6	1.424	0.036	1.95E-06	B_24_21
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	4	0.458	0.026	8.56E-04	B_25_22
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	3	0.895	0.012	6.13E-03	B_26_21
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0.258	0.01	4.38E-03	B_22_23
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	6	2.221	0.055	7.65E-10	C_15_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	3	6.462	0.208	5.36E-06	C_16_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	6	1.963	0.041	5.72E-09	C_17_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	4	3.483	0.339	3.02E-04	C_18_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0	0	0.00E+00	C_19_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	3	1.515	0.129	1.08E-04	C_20_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	0.204	0.081	3.18E-02	C_29_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	0.558	0.082	3.73E-02	C_32_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	4	0.192	0.054	5.58E-07	C_33_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0.199	0.012	4.54E-04	C_34_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	4	4	12	0.526	0.005	1.12E-14	C_35_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	5	8	37	0.15	0.003	9.90E-20	C_36_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	6	8	34	0.054	0.001	9.90E-20	C_37_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	4	0.304	0.019	4.94E-06	C_38_00
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	3	3	18	0.21	0.006	9.90E-20	C_38_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	5	8	29	0.556	0.001	9.90E-20	C_39_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0.152	0.006	4.91E-07	C_40_00
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	6	0.335	0.019	1.01E-07	C_40_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	6	0.285	0.017	3.55E-15	C_41_01
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	4	4.87	0.356	4.62E-04	C_42_02
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	4	0.046	0.002	7.95E-07	C_37_03
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0.144	0.008	1.52E-05	C_39_03
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	3	0.013	0.003	8.74E-03	C_12_25
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	2.475	0.201	6.26E-03	C_21_20
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	5	0.249	0.037	9.13E-08	C_21_22
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	4	1.404	0.048	4.82E-05	C_22_21
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	2	3	0.26	0.006	3.50E-07	C_23_20
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	5	1	0.029	1.00E+00	C_23_22
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	4	0.546	0.052	1.62E-03	C_24_19
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	4	0.415	0.014	2.05E-04	C_24_21
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	4	0.148	0.007	1.92E-06	C_25_20
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	4	0.178	0.013	1.17E-06	C_27_20
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	3	3	6	0.212	0.013	4.76E-06	C_30_19
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	4	0.095	0.009	8.40E-04	C_35_18
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0.18	0.003	5.24E-09	C_19_24
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	2	0.086	0.003	7.66E-04	C_20_23
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0.254	0.026	3.72E-05	C_20_25
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	3	4	11	0.156	0.008	5.67E-13	C_21_24
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0.478	0.082	4.94E-03	C_22_23
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	4	0.48	0.022	8.32E-08	C_22_25
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	3	3	9	0.236	0.01	2.69E-11	C_23_24
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	3	5	11	0.04	0.002	3.56E-12	C_24_23
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	2	5	0.14	0.005	7.31E-10	C_25_24
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	2	2	7	0.325	0.006	9.16E-11	C_26_23
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0.121	0.018	1.06E-02	C_26_25
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	2	0.182	0.054	1.95E-03	C_27_24
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	0.33	0.082	3.79E-02	C_19_28
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	0.154	0.029	1.12E-02	C_19_32
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	1.256	0.119	4.00E-02	C_23_26
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	0.519	0.094	2.95E-02	C_30_26
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	0.245	0.046	1.20E-02	C_12_31
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	0.181	0.019	4.39E-03	C_14_31
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	1	0.434	0.106	2.88E-02	C_16_31
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	3	0.138	0.008	5.79E-07	C_18_31
SP://A8DUK4	A8DUK4_MOUSE Beta_globin OS=Mus musculus GN=Hbbt1 PE=4 SV=1	1	1	4	0.637	0.025	6.95E-08	C_20_31
SP://B1ATQ3	B1ATQ3_MOUSE Malate dehydrogenase_ cytoplasmic (Fragment) OS=Mus musculus GN=Mdh1 PE=2 SV=1	1	1	1	0.134	0.014	3.56E-02	A_33_02
SP://B2RXQ2	B2RXQ2_MOUSE Ppfia1 protein OS=Mus musculus GN=Ppfia1 PE=2 SV=1	1	1	1	1.868	0.063	6.29E-04	A_34_16
SP://B5THE2	B5THE2_MOUSE Maltase_glucoamylase OS=Mus musculus GN=Mgam PE=2 SV=1	1	1	1	1.603	0.246	3.09E-02	A_14_01
SP://B5THE2	B5THE2_MOUSE Maltase_glucoamylase OS=Mus musculus GN=Mgam PE=2 SV=1	1	1	2	99999.9	99999.9	2.40E-09	B_14_23
SP://B5THE2	B5THE2_MOUSE Maltase_glucoamylase OS=Mus musculus GN=Mgam PE=2 SV=1	1	1	1	1.761	0.18	3.93E-02	B_13_24
SP://B5THE2	B5THE2_MOUSE Maltase_glucoamylase OS=Mus musculus GN=Mgam PE=2 SV=1	1	1	1	99999.9	99999.9	1.00E-05	B_13_31
SP://B5THE2	B5THE2_MOUSE Maltase_glucoamylase OS=Mus musculus GN=Mgam PE=2 SV=1	1	1	2	8.23	0.549	3.22E-03	C_13_02
SP://B5THE2	B5THE2_MOUSE Maltase_glucoamylase OS=Mus musculus GN=Mgam PE=2 SV=1	2	2	7	1.359	0.083	1.20E-07	C_14_01
SP://B5THE2	B5THE2_MOUSE Maltase_glucoamylase OS=Mus musculus GN=Mgam PE=2 SV=1	1	1	2	1.559	0.237	6.95E-03	C_12_31
SP://B8QI34	B8QI34_MOUSE Liprin_alpha 2 OS=Mus musculus GN=Ppfia2 PE=2 SV=1	1	1	1	0.491	0.035	2.95E-02	A_32_01
SP://B8QI34	B8QI34_MOUSE Liprin_alpha 2 OS=Mus musculus GN=Ppfia2 PE=2 SV=1	1	1	1	0.226	0.042	3.71E-03	A_33_17
