"con1"	"con2"	"con3"	"con4"	"d2_1"	"d2_2"	"d2_3"	"d2_4"	"d4_1"	"d4_2"	"d4_3"	"d4_4"	"Only.identified.by.site"	"Reverse"	"Potential.contaminant"	"t.test.Significantcon_2d"	"t.test.Significantcon_4d"	"matrix31"	"Q.value"	"Intensity"	"MS.MS.Count"	"X.Log.t.test.p.valuecon_2d"	"t.test.Differencecon_2d"	"X.Log.t.test.p.valuecon_4d"	"t.test.Differencecon_4d"	"Test.statistic_"	"Protein.IDs"	"Majority.protein.IDs"	"Protein.names"	"Gene.names"	"Gene_name"	"ProteinID"	"con_mean"	"d2_mean"	"ttest_con_d2_pval"	"d4_mean"	"ttest_con_d4_pval"	"ttest_con_d2_fdr"	"ttest_con_d4_fdr"
"19"	-0.7487621	-4.298756	-3.577879	-2.465919	-2.474304	-2.630255	-3.062298	-1.610998	-3.241423	-4.330568	-3.079268	-3.121784	""	""	""	""	""	""	"0"	"405730000"	"5"	"0.151023885414922"	"-0.328365564346313"	"0.347616613467354"	"0.67043125629425"	"0.36671145856601"	"D3ZCL3;A0A096P6L1"	"D3ZCL3;A0A096P6L1"	"U1 small nuclear ribonucleoprotein C"	"Snrpc"	"Snrpc"	"D3ZCL3"	-2.772829025	-2.44446375	0.713229159697527	-3.44326075	0.465050614967234	0.905021674910264	0.941075218370869
"20"	1.424095	0.2710953	0.8171673	-0.1407223	1.031149	0.9182339	-0.2327957	0.01666641	2.640192	1.504274	1.986778	1.981821	""	""	""	""	""	""	"0"	"4568300000"	"45"	"0.128980941919749"	"0.159595489501953"	"1.88386683317705"	"-1.43535757064819"	"-1.01662140792171"	"F1LST1;P04937;A0A096P6L8"	"F1LST1;P04937;A0A096P6L8"	"Fibronectin;Anastellin"	"Fn1"	"Fn1"	"F1LST1"	0.592908825	0.4333134025	0.743102431110983	2.02826625	0.0158987975395637	0.915006687640105	0.662845413391816
"22"	-2.390675	0.8080959	-0.09450531	-2.619209	-0.5530186	-0.5432625	-1.093346	-1.58758	0.1058578	0.4830418	-2.165413	-4.221904	""	""	""	""	""	""	"0"	"1139500000"	"13"	"0.051552273349445"	"-0.129771709442139"	"0.0995330734322963"	"0.375531077384949"	"0.157541045316927"	"A0A097BW25;D3ZAF5;CON__Q2KJC7"	"A0A097BW25;D3ZAF5"	""	"Postn"	"Postn"	"A0A097BW25"	-1.0740733525	-0.944301775	0.891283748236497	-1.44960435	0.795730324207849	0.975281241686826	0.971780504745026
"23"	-2.59746	-2.183935	-1.553692	-1.966066	-4.406322	-0.9936047	-1.370502	-1.831621	-4.449252	-0.4602184	-5.514547	-2.707712	""	""	""	""	""	""	"0"	"467140000"	"6"	"0.0323275935555901"	"0.0752242803573608"	"0.488625347185789"	"1.20764410495758"	"0.568105568307144"	"A0A0A0MXU4;B0BNG0"	"A0A0A0MXU4;B0BNG0"	"ER membrane protein complex subunit 2"	"Emc2"	"Emc2"	"A0A0A0MXU4"	-2.07528825	-2.150512425	0.930367304889608	-3.28293235	0.35685356650819	0.982217714866713	0.941075218370869
"24"	-3.722189	-3.425287	-3.637753	-3.062689	-3.185055	-3.440826	-2.517965	-3.250898	-3.8181	-3.277411	-3.935436	-4.010902	""	""	""	""	""	""	"0"	"175630000"	"6"	"0.710136383650361"	"-0.363293170928955"	"0.644590017082537"	"0.298482894897461"	"0.244333793417826"	"F1M3L7;A0A0A0MXV1"	"F1M3L7;A0A0A0MXV1"	"Epidermal growth factor receptor kinase substrate 8"	"Eps8"	"Eps8"	"F1M3L7"	-3.4619795	-3.098686	0.199320008963805	-3.76046225	0.227343305265877	0.660755641529799	0.879882053385339
"25"	2.052826	3.286503	2.316608	2.921013	2.806534	3.004007	2.494509	3.068878	2.6702	3.214224	2.677702	2.826441	""	""	""	""	""	""	"0"	"12431000000"	"52"	"0.265252811039265"	"-0.199244499206543"	"0.271635275373211"	"-0.202904224395752"	"-0.155076735835774"	"P35738;A0A0A0MXW1"	"P35738;A0A0A0MXW1"	"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"	"Bckdhb"	"Bckdhb"	"P35738"	2.6442375	2.843482	0.552525514796621	2.84714175	0.545020530456451	0.820458103449264	0.942414385676083
"26"	-0.2698498	-1.735386	-0.3220387	-0.1732483	-0.1217194	-0.9555092	-1.463446	-0.3336487	0.01464653	-2.037853	-1.082949	-5.456425	""	""	""	""	""	""	"0"	"1199900000"	"14"	"0.0694544424447937"	"0.0934500694274902"	"0.573246289535562"	"1.5155143737793"	"0.676846023161179"	"A0A0A0MXW3;P0C0S7;D4AEC0"	"A0A0A0MXW3;P0C0S7;D4AEC0"	"Histone H2A.Z;Histone H2A"	"H2afz;H2afv"	"H2afz"	"A0A0A0MXW3"	-0.6251307	-0.718580825	0.852443825520989	-2.1406451175	0.295527904468828	0.961804737555276	0.941075218370869
"27"	1.653414	2.078493	0.9314098	1.390142	1.255848	1.517338	1.319729	1.57461	1.049263	0.9191189	2.132305	0.6977024	""	""	""	""	""	""	"0"	"5316600000"	"41"	"0.145565665719143"	"0.0964837074279785"	"0.335188962189298"	"0.313767433166504"	"0.224187186965017"	"F1LRS8;A0A0A0MXX0"	"F1LRS8;A0A0A0MXX0"	""	"Cd2ap"	"Cd2ap"	"F1LRS8"	1.5133647	1.41688125	0.723508891104163	1.199597325	0.46436977953964	0.908031419344915	0.941075218370869
"28"	1.579977	2.105289	1.486254	2.212658	1.898834	1.509914	2.043688	2.542124	0.3740902	1.004406	1.73513	1.641367	""	""	""	""	""	""	"0"	"6381400000"	"47"	"0.21697714357223"	"-0.152595520019531"	"0.912877218300429"	"0.657296180725098"	"0.481366634983751"	"D4A1J4;A0A0A0MXX5"	"D4A1J4;A0A0A0MXX5"	"3-hydroxybutyrate dehydrogenase type 2"	"Bdh2"	"Bdh2"	"D4A1J4"	1.8460445	1.99864	0.60720632178077	1.1887483	0.134385817585975	0.848852032883061	0.829944387677738
"29"	-2.778028	-2.637453	-1.949472	-1.710417	-2.426516	-1.999111	-2.295227	-1.950705	-2.878481	-2.636066	-2.438953	-2.572519	""	""	""	""	""	""	"0"	"400230000"	"6"	"0.134076841849547"	"-0.100953102111816"	"0.627015876133972"	"0.362662315368652"	"0.28433792610129"	"D3ZYR1;A0A0A0MXX8"	"D3ZYR1;A0A0A0MXX8"	"FCH domain only protein 2"	"Fcho2"	"Fcho2"	"D3ZYR1"	-2.2688425	-2.16788975	0.739622400315612	-2.63150475	0.262833669816494	0.915006687640105	0.924625313070859
"30"	0.107769	-0.2443981	-1.014206	2.339809	-0.02191544	0.933857	0.7167206	0.9547672	0.559412	-0.3628826	1.67606	-0.09609413	""	""	""	""	""	""	"0"	"3161200000"	"28"	"0.179950163128395"	"-0.348613739013672"	"0.0611403944603597"	"-0.146880149841309"	"-0.0793415180686023"	"P70584;A0A0A0MY00"	"P70584;A0A0A0MY00"	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"	"Acadsb"	"Acadsb"	"P70584"	0.297243475	0.64585734	0.670992756152166	0.4441238175	0.869695541434597	0.879750621993084	0.977287668004742
"31"	5.710812	4.494225	4.332268	5.094732	5.098822	5.380394	5.286844	5.429152	5.37627	4.564344	5.349947	4.82653	""	""	""	""	""	""	"0"	"73326000000"	"352"	"0.56740406617976"	"-0.390793800354004"	"0.121680792257232"	"-0.121263980865479"	"-0.088370781736973"	"Q66HD0;A0A0A0MY09;A0A0G2K4I4"	"Q66HD0;A0A0A0MY09;A0A0G2K4I4"	"Endoplasmin"	"Hsp90b1"	"Hsp90b1"	"Q66HD0"	4.90800925	5.298803	0.304308498330602	5.02927275	0.757546494403104	0.728861793421684	0.966841729932831
"32"	1.428209	0.429348	1.977097	1.838285	2.092285	1.987875	1.954187	2.244135	1.166786	1.087997	2.48168	1.551205	""	""	""	""	""	""	"0"	"6402800000"	"57"	"0.932819351765933"	"-0.65138578414917"	"0.121107372366044"	"-0.153682231903076"	"-0.104280316558295"	"A0A0A0MY49;P39052;A0A0A0MY48;Q08877;P21575;D3ZQQ5"	"A0A0A0MY49;P39052;A0A0A0MY48"	"Dynamin-2"	"Dnm2"	"Dnm2"	"A0A0A0MY49"	1.41823475	2.0696205	0.15840553093719	1.571917	0.7567308315133	0.632521952706941	0.966841729932831
"33"	2.702103	0.03783417	1.373671	4.102987	1.047905	2.188625	2.433258	2.446398	0.3416462	1.63089	3.040775	1.090685	""	""	""	""	""	""	"0"	"10502000000"	"39"	"0.00902492603146469"	"0.0251021385192871"	"0.200297622004742"	"0.528149604797363"	"0.258568730854279"	"P80254;A0A0F7RQJ6"	"P80254;A0A0F7RQJ6"	"D-dopachrome decarboxylase"	"Ddt"	"Ddt"	"P80254"	2.0541487925	2.0290465	0.97989639695561	1.52599905	0.633337659870882	0.996134251380135	0.963637905671656
"34"	3.564762	-1.79249	-1.724329	3.154037	1.486135	2.131027	1.212288	3.401773	1.414665	-2.745111	3.31485	-0.5992146	""	""	""	""	""	""	"0"	"12967000000"	"46"	"0.346316502779997"	"-1.25731086730957"	"0.0832697922207302"	"0.454197883605957"	"0.152806386976076"	"P30904;A0A0F7RQL3;D3ZE63;F1LTZ6;D4A3P7"	"P30904;A0A0F7RQL3;D3ZE63"	"Macrophage migration inhibitory factor"	"Mif;LOC686548"	"Mif"	"P30904"	0.800495	2.05780575	0.469052711865046	0.34629735	0.825642509444111	0.797534678845324	0.977287668004742
"35"	4.954525	4.379551	3.956726	5.769075	5.271395	5.160912	5.199373	6.038713	4.623104	4.709291	4.938429	4.083687	""	""	""	""	""	""	"0"	"63758000000"	"183"	"0.716539198322765"	"-0.652628898620605"	"0.156600624079638"	"0.176341533660889"	"0.123147250575909"	"A0A0G2JSG6;P29410"	"A0A0G2JSG6;P29410"	"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed"	"Ak2"	"Ak2"	"A0A0G2JSG6"	4.76496925	5.41759825	0.2069709214153	4.58862775	0.702959184211183	0.667347066304913	0.963637905671656
"36"	-1.439745	-1.117594	-0.1582203	0.3819885	-0.3258934	-0.2044029	-0.8137569	-0.9371681	-1.706202	-1.00168	-1.151318	-3.537786	""	""	""	""	""	""	"0"	"1191700000"	"19"	"0.00959985402419393"	"-0.013087272644043"	"0.889682043216249"	"1.26585364341736"	"0.736265239975086"	"P29147;A0A0G2JSH2"	"P29147;A0A0G2JSH2"	"D-beta-hydroxybutyrate dehydrogenase, mitochondrial"	"Bdh1"	"Bdh1"	"P29147"	-0.5833927	-0.570305325	0.978561867504256	-1.8492465	0.133761007689654	0.996134251380135	0.829944387677738
"37"	-3.010227	-2.275585	-1.958393	-2.850262	-2.147034	-2.085287	-2.018604	-2.39082	-2.542261	-2.238842	-1.894455	-4.461946	""	""	""	""	""	""	"0.00042882"	"347510000"	"3"	"0.677695768021964"	"-0.363180637359619"	"0.160509472343533"	"0.260759234428406"	"0.160471094725989"	"P18266;A0A0G2JSH4;A0A0G2KB98"	"P18266;A0A0G2JSH4;A0A0G2KB98"	"Glycogen synthase kinase-3 beta"	"Gsk3b"	"Gsk3b"	"P18266"	-2.52361675	-2.16043625	0.239620788023606	-2.784376	0.697615142406644	0.696202215855773	0.963637905671656
"38"	3.454426	2.906937	2.983795	3.180107	3.587284	3.960836	3.785879	3.831556	2.697615	3.114223	4.111055	2.381199	""	""	""	""	""	""	"0"	"19799000000"	"95"	"2.41667033554034"	"-0.660072803497314"	"0.0489517619139895"	"0.055293083190918"	"0.0396207102117302"	"A0A0G2JSH9;P35704"	"A0A0G2JSH9;P35704"	"Peroxiredoxin-2"	"Prdx2"	"Prdx2"	"A0A0G2JSH9"	3.13131625	3.79138875	0.00580357041474673	3.076023	0.896247102646597	0.258094631463359	0.977976567122244
"39"	-3.37751	-4.540562	-2.728117	-2.48988	-4.20116	-2.55345	-3.604469	-3.153944	-4.244376	-4.574304	-2.593222	-3.521392	""	""	""	""	""	""	"0"	"115710000"	"3"	"0.0577497973979895"	"0.0942386984825134"	"0.295995370513424"	"0.44930624961853"	"0.274785247667064"	"Q9EQ76;A0A0G2JSI0"	"Q9EQ76;A0A0G2JSI0"	"Dimethylaniline monooxygenase [N-oxide-forming] 3"	"Fmo3"	"Fmo3"	"Q9EQ76"	-3.28401725	-3.37825575	0.87586162183485	-3.7333235	0.505879970979833	0.973219526945379	0.941075218370869
"40"	4.733078	3.951248	4.385399	5.189589	4.781645	4.976353	5.23292	5.599508	4.668449	4.743811	5.01758	4.08717	""	""	""	""	""	""	"0"	"57210000000"	"217"	"0.93867531007475"	"-0.582777976989746"	"0.0703159914003278"	"-0.0644240379333496"	"-0.0485324611308819"	"A0A0G2JSI1;Q9JLJ3"	"A0A0G2JSI1;Q9JLJ3"	"4-trimethylaminobutyraldehyde dehydrogenase"	"Aldh9a1"	"Aldh9a1"	"A0A0G2JSI1"	4.5648285	5.1476065	0.122099072028464	4.6292525	0.851033330950411	0.6075514169321	0.977287668004742
"41"	2.788271	2.802204	2.712063	2.648975	3.189667	3.005508	3.300858	3.293566	2.770407	2.938805	3.290895	2.490538	""	""	""	""	""	""	"0"	"14897000000"	"119"	"2.98862052860967"	"-0.459521293640137"	"0.336628066783738"	"-0.134782791137695"	"-0.115097605325089"	"Q4KM73;A0A0G2JSJ2;A0A0G2JTN5"	"Q4KM73;A0A0G2JSJ2;A0A0G2JTN5"	"UMP-CMP kinase"	"Cmpk1"	"Cmpk1"	"Q4KM73"	2.73787825	3.19739975	0.00276925419970165	2.87266125	0.483787278767685	0.197791883293842	0.941075218370869
"42"	0.9347439	2.678591	2.540628	1.60009	2.735174	2.345343	2.676128	2.731325	0.9807167	2.150164	1.955513	2.427753	""	""	""	""	""	""	"0"	"8307700000"	"50"	"0.805747652006944"	"-0.683479309082031"	"0.0401959996822261"	"0.0599765777587891"	"0.0395105153794871"	"P17164;A0A0G2JSJ8"	"P17164;A0A0G2JSJ8"	"Tissue alpha-L-fucosidase"	"Fuca1"	"Fuca1"	"P17164"	1.938513225	2.6219925	0.195259992496079	1.878536675	0.911851332161262	0.65941070689684	0.979033811709225
"43"	3.019815	2.458113	2.704643	2.45191	2.971418	2.275911	1.53759	1.383272	2.385984	2.280066	2.265739	2.636692	""	""	""	""	""	""	"0"	"11036000000"	"79"	"0.783313720111953"	"0.616572380065918"	"0.838565115663902"	"0.266499996185303"	"0.229912483245052"	"A0A0G2JSK5;P49134"	"A0A0G2JSK5;P49134"	"Integrin beta-1"	"Itgb1"	"Itgb1"	"A0A0G2JSK5"	2.65862025	2.04204775	0.192661756746769	2.39212025	0.153633075504444	0.65941070689684	0.840132540029948
"44"	-1.720808	-0.3950233	-0.06943703	-1.802595	-0.432682	-0.6652794	-0.2115402	-0.1316242	-0.8831558	0.4137344	-0.7475662	-0.1672535	""	""	""	""	""	""	"0"	"1189900000"	"6"	"0.661731105895438"	"-0.636684417724609"	"0.567569528724511"	"-0.650905609130859"	"-0.423616309845957"	"O09171;A0A0G2JSK9"	"O09171;A0A0G2JSK9"	"Betaine--homocysteine S-methyltransferase 1"	"Bhmt"	"Bhmt"	"O09171"	-0.9969658325	-0.36028145	0.251734139530665	-0.346060275	0.277112154520894	0.699862939387587	0.932403359199021
"45"	-0.04754639	-1.117006	-0.7566528	0.3384323	-0.9949093	-0.4929142	-0.726366	0.8188915	-1.93561	-1.374382	-0.3607121	-2.071562	""	""	""	""	""	""	"0"	"1485800000"	"12"	"0.0309460928367446"	"-0.0468688011169434"	"1.05703433313099"	"1.03987312316895"	"0.688541497963166"	"P28073;A0A0G2JSL0"	"P28073;A0A0G2JSL0"	"Proteasome subunit beta type-6"	"Psmb6"	"Psmb6"	"P28073"	-0.3956932225	-0.3488245	0.931331146313622	-1.435566525	0.088914998314892	0.982217714866713	0.773330815602215
"47"	-5.857462	-3.285633	-3.508261	-2.756027	-4.445555	-1.964331	-3.077858	-3.154795	-4.488431	-1.513805	-4.611047	-5.156979	""	""	""	""	""	""	"0.00042373"	"203020000"	"4"	"0.347584443344581"	"-0.691211104393005"	"0.0290544193364465"	"0.0907198190689087"	"0.0437916914331151"	"O88484;A0A0G2JSL7"	"O88484;A0A0G2JSL7"	"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial"	"Pdp2"	"Pdp2"	"O88484"	-3.85184575	-3.16063475	0.451728238724686	-3.9425655	0.935373388596869	0.793385587685606	0.985984548719572
"48"	2.883095	2.867325	0.9163933	2.477583	1.346581	2.186943	2.622011	2.799156	1.376574	2.441151	2.098331	2.318104	""	""	""	""	""	""	"0"	"8186400000"	"35"	"0.0286628364029938"	"0.0474262237548828"	"0.168173514072779"	"0.227559089660645"	"0.149375466103583"	"A0A0G2JSL8;Q64640;A0A0G2K6X9"	"A0A0G2JSL8;Q64640;A0A0G2K6X9"	"Adenosine kinase"	"Adk"	"Adk"	"A0A0G2JSL8"	2.286099075	2.23867275	0.936451091472319	2.05854	0.683925079647298	0.982217714866713	0.963637905671656
"49"	4.073017	4.367332	4.386482	4.02199	4.615992	4.651234	4.827917	4.899355	4.445648	4.693499	4.293131	3.947598	""	""	""	""	""	""	"0"	"40838000000"	"231"	"2.41432482219575"	"-0.536418914794922"	"0.304839345017211"	"-0.132763385772705"	"-0.112219012978279"	"A0A0G2JSM7;D3ZZ99;Q05764;F8WFS9"	"A0A0G2JSM7;D3ZZ99"	""	"Add1"	"Add1"	"A0A0G2JSM7"	4.21220525	4.7486245	0.00494758298808269	4.344969	0.500975315830479	0.255866772131464	0.941075218370869
"50"	-3.248228	-3.593096	-4.828238	-2.588253	-1.868713	-2.137779	-4.557693	-2.364307	-3.53215	-3.619273	-4.398342	-4.286716	""	""	""	""	""	""	"0"	"174340000"	"4"	"0.488881687006684"	"-0.832330524921417"	"0.321584937208375"	"0.394666612148285"	"0.259592013159337"	"A0A0G2JSP9;Q9R0W2;F1LPJ0"	"A0A0G2JSP9;Q9R0W2;F1LPJ0"	"Solute carrier family 22 member 2"	"Slc22a2"	"Slc22a2"	"A0A0G2JSP9"	-3.56445375	-2.732123	0.32718880497043	-3.95912025	0.487720549439883	0.734739187225016	0.941075218370869
"51"	-2.865667	-4.86251	-0.290432	-1.67902	-1.31938	-1.479017	-1.835243	-2.33272	-4.813374	-0.4119034	-3.676206	-2.08891	""	""	""	""	""	""	"0.0026667"	"483990000"	"5"	"0.285893348241752"	"-0.682817161083221"	"0.0859991887087228"	"0.323191285133362"	"0.136816987633013"	"Q9R1U7;A0A0G2JSQ3"	"Q9R1U7;A0A0G2JSQ3"	"Solute carrier family 22 member 8"	"Slc22a8"	"Slc22a8"	"Q9R1U7"	-2.42440725	-1.74159	0.536988854356703	-2.74759835	0.820353986954542	0.813197733942944	0.977287668004742
"53"	1.766287	2.711639	2.885874	1.354692	2.363733	2.101215	1.781473	1.593914	2.262875	2.095173	1.258621	2.532869	""	""	""	""	""	""	"0"	"8221200000"	"68"	"0.21572839919918"	"0.219539165496826"	"0.114852882650193"	"0.142238616943359"	"0.0974227941195557"	"A0A0G2JSR7;P43244"	"A0A0G2JSR7;P43244"	"Matrin-3"	"Matr3"	"Matr3"	"A0A0G2JSR7"	2.179623	1.96008375	0.616283244618167	2.0373845	0.76845052487744	0.853760315906726	0.966841729932831
"54"	3.60779	2.296188	2.527502	4.439665	2.780798	3.232754	3.256437	4.112192	2.33539	3.234276	3.577665	0.5157452	""	""	""	""	""	""	"0"	"21310000000"	"90"	"0.0808823166970307"	"-0.127758979797363"	"0.419972733821833"	"0.802017211914063"	"0.434244029306588"	"Q9R063;A0A0G2JSS8"	"Q9R063;A0A0G2JSS8"	"Peroxiredoxin-5, mitochondrial"	"Prdx5"	"Prdx5"	"Q9R063"	3.21778625	3.34554525	0.832040394867945	2.41576905	0.383549580064768	0.952924786542151	0.941075218370869
"55"	2.356251	1.687031	2.225836	2.354389	1.810467	2.754927	2.249603	2.237	2.421877	1.683508	2.294024	1.267368	""	""	""	""	""	"+"	"0"	"7339200000"	"41"	"0.165182745602435"	"-0.107122421264648"	"0.324092588499735"	"0.239182472229004"	"0.182123772904627"	"Q63945;A0A0G2JSU3;D3ZC07;A0A0G2K5L9;D4A466"	"Q63945;A0A0G2JSU3;D3ZC07;A0A0G2K5L9"	"Protein SET"	"Set;Pkn3"	"Set"	"Q63945"	2.15587675	2.26299925	0.684148825532913	1.91669425	0.480572431500633	0.884552266473437	0.941075218370869
"56"	-2.383646	-5.240704	-5.205664	-2.720724	-1.609165	-1.065369	-3.58756	-1.56102	-1.139656	-4.898823	-1.415289	-3.83383	""	""	""	""	""	""	"0.00044131"	"385830000"	"7"	"1.04918206508001"	"-1.93190604448318"	"0.387868622150104"	"-1.06578493118286"	"-0.48400675929642"	"P60892;A0A0G2JSV3;M0RBK1"	"P60892;A0A0G2JSV3;M0RBK1"	"Ribose-phosphate pyrophosphokinase 1;Ribose-phosphate pyrophosphokinase"	"Prps1;Prps1l1"	"Prps1"	"P60892"	-3.8876845	-1.9557785	0.0940414349814389	-2.8218995	0.410332037261585	0.583291959457201	0.941075218370869
