527_RG_Benzing_Rinschen_150523_TQ_S01	527_RG_Benzing_Rinschen_150523_TQ_S02	527_RG_Benzing_Rinschen_150523_TQ_S07	527_RG_Benzing_Rinschen_150523_TQ_S08	527_RG_Benzing_Rinschen_150523_TQ_S09	527_RG_Benzing_Rinschen_150523_TQ_S10	527_RG_Benzing_Rinschen_150523_TQ_S15	527_RG_Benzing_Rinschen_150523_TQ_S16	527_RG_Benzing_Rinschen_150523_TQ_S17	527_RG_Benzing_Rinschen_150523_TQ_S18	527_RG_Benzing_Rinschen_150523_TQ_S23	527_RG_Benzing_Rinschen_150523_TQ_S24	724_RG_Rinschen_Schermer_150624_C1_01	724_RG_Rinschen_Schermer_150624_C2_02	724_RG_Rinschen_Schermer_150624_C3_03	724_RG_Rinschen_Schermer_150624_C4_04	724_RG_Rinschen_Schermer_150624_PAN_1_05	724_RG_Rinschen_Schermer_150624_PAN_2_06	724_RG_Rinschen_Schermer_150624_PAN_3_07	724_RG_Rinschen_Schermer_150624_PAN_4_08	Q-value	Intensity	MS/MS Count	Protein IDs	Majority protein IDs	Protein names	Gene names	PDB
30.78869	30.45327	30.73941	30.4349	30.10924	30.4941	30.73675	30.99732	30.35479	30.30954	30.72184	30.98861	29.21517	29.42084	29.02464	29.09675	28.7578	28.68836	28.58344	28.40957	0	57583000000	300	P98179;A0A024QYX3	P98179;A0A024QYX3	Putative RNA-binding protein 3	RBM3	
22.40304	21.94964	23.41622	22.86541	22.15802	21.92877	22.50499	22.79873	22.19884	22.81536	22.4401	22.29872	22.17149	21.97418	22.48992	22.46559	22.49719	22.46063	22.38283	22.34539	0	382370000	13	Q9UET6;A0A024QYX5;B7Z4K4;B3KN91	Q9UET6;A0A024QYX5;B7Z4K4;B3KN91	Putative tRNA (cytidine(32)/guanosine(34)-2-O)-methyltransferase	FTSJ1	
21.96002	20.79909	22.64377	20.87926	21.77896	20.78585	22.61586	20.91104	21.58748	23.82595	21.70235	21.44991	23.73923	23.77726	24.52409	24.35683	23.92034	24.29789	24.06628	22.91037	0	925490000	13	F6PQP6;E9PBC1;B3KMB3;I3L2B2;B7ZKM5;O95208;A0A024QYY1;I3L356;B7Z4W7;I3L2H1;B7Z3A5	F6PQP6;E9PBC1;B3KMB3;I3L2B2;B7ZKM5;O95208;A0A024QYY1;I3L356;B7Z4W7;I3L2H1	Epsin-2	EPN2	
24.503	23.94163	24.57767	24.27739	24.74745	23.96455	24.30229	24.12637	21.40293	24.91998	23.83123	22.5655	25.44664	24.90509	25.23133	25.14705	25.23976	24.97605	24.94011	25.34065	0	2098800000	45	O60256;B2R7R5;A0A024QYY3;E7EPA1;C9JDU5;C9JJS3;C9K0K7;C9JDH0;E7EW35;I3L331;I3L164;I3L4G9;I3L0S1;Q6ZTP6;I3L1T1;I3L3B8;I3L2J4	O60256;B2R7R5;A0A024QYY3;E7EPA1;C9JDU5;C9JJS3;C9K0K7	Phosphoribosyl pyrophosphate synthase-associated protein 2	PRPSAP2	2JI4
25.10586	25.07222	25.09543	24.98945	25.14313	24.879	25.29964	25.04852	25.12715	23.60045	25.24187	25.17066	26.10538	26.16129	25.60337	25.66397	25.51851	25.65201	25.57998	25.20135	0	4199600000	64	B4E2A4;Q5M775;A0A024QYY9;B4DIW7;B4DQ24;J3KSG2;F5H2Z1;B4DW07;J3QQM0;J3QS22;J3KRN9	B4E2A4;Q5M775;A0A024QYY9;B4DIW7;B4DQ24	Cytospin-B	SPECC1	
24.3434	24.42573	24.23425	24.15221	24.78142	24.32738	24.0312	24.17058	22.5291	23.45888	23.72983	23.02797	25.15051	24.09756	24.94517	24.28362	24.68368	24.19265	25.01546	24.55262	0	2147600000	20	P60059;A0A024QYZ0	P60059;A0A024QYZ0	Protein transport protein Sec61 subunit gamma	SEC61G	
20.81455	22.57287	21.45947	22.63754	21.60052	22.54787	21.43706	22.66231	23.20263	21.81951	22.60094	23.77319	23.08699	23.33088	23.40289	23.36906	23.23792	23.23719	23.35716	23.41067	0	643080000	7	A0A024QYZ6;D6RB59;O60645;D6RBR9;Q69YP2;Q6ZNJ2;H0Y995;B2RE06	A0A024QYZ6;D6RB59;O60645;D6RBR9;Q69YP2	Exocyst complex component 3	EXOC3;DKFZp762K123	
22.5805	21.3785	21.27404	21.4536	22.68937	21.36142	21.25249	21.48309	23.74826	24.25088	21.41576	22.31657	22.73039	22.64715	22.28212	22.01501	22.05025	22.01066	21.92809	22.20872	0	282180000	5	Q8WYQ7;B3KWW5;A0A024QZ02;O00182;A0A024QZ55;J3QSH0;J3KS82;J3KT17;J3QR96;F8W9W4;B4DJD7;J3KSY2;Q6DKI2;Q3B8N2	Q8WYQ7;B3KWW5;A0A024QZ02;O00182;A0A024QZ55;J3QSH0;J3KS82;J3KT17;J3QR96;F8W9W4;B4DJD7;J3KSY2;Q6DKI2;Q3B8N2	Galectin-9;Galectin-9C;Galectin-9B	LGALS9;LGALS9C;LGALS9B	2EAK;2EAL;2YY1;2ZHK;2ZHL;2ZHM;2ZHN;3LSD;3LSE;3NV1;3NV2;3NV3;3NV4
25.31997	25.29316	25.67885	25.34076	24.90958	25.13391	25.26935	25.24724	24.95664	23.49657	25.02318	25.26549	26.03792	26.11345	25.92635	26.09063	25.99628	26.07163	26.09521	25.6958	0	4417800000	80	O60826;A0A024QZ03;B7ZAR0;B4DPB6;B4DLA4	O60826;A0A024QZ03;B7ZAR0;B4DPB6	Coiled-coil domain-containing protein 22	CCDC22	
21.3914	21.19149	22.40556	21.26823	23.86813	21.17565	22.37876	21.29846	22.27781	23.07771	21.23019	22.1603	22.16681	21.80076	22.17002	22.39079	22.66418	22.70417	23.14736	22.3297	0	305310000	7	Q8IY31;A0A024QZ08	Q8IY31;A0A024QZ08	Intraflagellar transport protein 20 homolog	IFT20	
21.20522	22.33264	23.6305	22.3994	22.44641	22.30923	23.59803	22.42513	22.12006	22.38934	22.36255	20.35059	23.9604	24.22148	24.07169	23.91652	23.7681	23.99395	23.84384	23.51184	0	826900000	11	Q13164;A0A024QZ20;B4DI23	Q13164;A0A024QZ20;B4DI23	Mitogen-activated protein kinase 7	MAPK7	2Q8Y;4B99;4IC7;4IC8
23.33811	22.96951	23.55953	23.71869	23.18634	22.89741	22.83096	23.28968	23.015	22.04618	23.35394	23.03457	21.95633	22.859	22.04115	21.89369	21.9299	21.8895	21.80565	21.88609	0	475760000	10	B3KNA1;Q9NZS3;B4DZN1;Q9NSW6;Q9UBN7;A0A024QZ26;B4DZH6;B3KVK5;B3KT76;B3KMC3;A6NDI8;E7EPS2;E7EUZ1;B4DJ18	B3KNA1;Q9NZS3;B4DZN1;Q9NSW6;Q9UBN7;A0A024QZ26;B4DZH6;B3KVK5;B3KT76;B3KMC3	Histone deacetylase 6	DKFZp566E044;HDAC6	3C5K;3GV4;3PHD
26.81446	26.9875	27.19573	27.19864	26.89296	27.16154	27.4453	27.4893	27.75226	27.12258	27.97049	28.11892	27.45176	27.42246	27.44608	27.0239	27.46793	27.53609	27.37302	27.37053	0	13401000000	217	P31040;A0A024QZ30;Q0QF12;D6RFM5;B3KT34;B4DYN5;B3KYA5;B7Z668;B4DNB2;H0Y8X1;B7Z9R0;B7Z5M3;B7Z6J5	P31040;A0A024QZ30;Q0QF12;D6RFM5;B3KT34;B4DYN5	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"	SDHA	
23.88893	24.15081	23.74448	23.69827	23.18547	23.36145	23.26069	23.4386	23.19637	23.01368	23.20641	23.20936	23.31686	22.31802	22.89475	23.16429	22.67309	22.63771	22.44995	21.85939	0	479390000	23	B7Z4B1;A0A024QZ33;B7ZL27;Q9H0G5;B2R9Y2;Q05DD5;K7EK40;K7EMD8;K7ERM9	B7Z4B1;A0A024QZ33;B7ZL27;Q9H0G5;B2R9Y2;Q05DD5	Nuclear speckle splicing regulatory protein 1	CCDC55;NSRP1	
23.0647	23.568	22.15308	23.62398	22.29388	23.5364	22.12745	23.64482	20.29318	22.99776	23.58841	22.2019	24.04327	24.16162	23.94753	24.12991	23.81587	23.69402	24.34428	23.36333	0	926200000	14	A0A024QZ63;Q92614;J3KNX9;Q5QD01;B4DYM1;B4DZ32;B4E0T8	A0A024QZ63;Q92614;J3KNX9;Q5QD01;B4DYM1;B4DZ32;B4E0T8	Unconventional myosin-XVIIIa	MYO18A	
26.74855	26.94893	27.0296	27.23316	26.63879	26.72051	26.56798	26.7024	26.95704	26.39031	26.99701	27.21512	26.76269	26.64265	26.59804	26.51913	26.90644	26.57002	26.09796	27.34807	0	9793100000	101	B7Z1N6;B7Z1Y2;P09972;A0A024QZ64;B7Z3K9;B7Z1Z9;K7EKH5;C9J8F3;J3KSV6;J3QKP5;A8MVZ9;B7Z3K7;B7Z1L5	B7Z1N6;B7Z1Y2;P09972;A0A024QZ64;B7Z3K9;B7Z1Z9;K7EKH5;C9J8F3;J3KSV6;J3QKP5;A8MVZ9	Fructose-bisphosphate aldolase;Fructose-bisphosphate aldolase C	ALDOC	1XFB
24.53315	24.46725	24.24256	24.09491	24.22214	24.73417	24.06817	23.99938	24.66134	23.44326	24.26084	24.36446	24.01052	24.00462	24.18624	24.50658	23.96199	23.23215	22.56178	24.0041	0	1090000000	23	Q7L7X3;A0A024QZ70;A0PJ48;B4E2V3;Q9UL54;Q86V37;H0YF68	Q7L7X3;A0A024QZ70	Serine/threonine-protein kinase TAO1	TAOK1	
27.52283	27.4449	27.94648	27.63803	27.2178	27.25782	27.57333	27.53734	27.63741	27.36703	27.36895	28.03249	26.41199	26.72728	26.46952	26.5203	26.28493	27.01169	26.77518	26.12853	0	7648500000	175	Q96C19;A0A024QZ77;H0Y4Y4	Q96C19;A0A024QZ77	EF-hand domain-containing protein D2	EFHD2	
25.11795	25.54951	25.78559	25.4982	25.8946	25.1635	25.52172	25.81115	25.72294	25.99131	25.38337	25.81218	25.55377	25.52304	25.69006	26.08428	25.8023	25.76969	25.87199	26.09523	0	4880900000	56	Q9NVZ3;Q53FE5;A0A024QZ81;D6RB24;B4DUR7;F6SKB8;D6RAN6;H0Y970	Q9NVZ3;Q53FE5;A0A024QZ81;D6RB24;B4DUR7;F6SKB8	Adaptin ear-binding coat-associated protein 2	NECAP2	
22.34132	22.078	21.99457	22.147	20.52755	22.05628	21.96968	22.17373	23.00263	24.83809	22.10988	21.73952	21.78192	22.62287	23.94931	23.88846	23.69264	23.58806	23.46837	23.03845	0	905880000	17	Q6PIW8;Q9H9E3;J3KNI1;A0A024QZ89;A2VCL3;Q8N8L9;H3BSD2;H3BMV9;J3QLW1;E9PRT5;J3KRB5;H3BQB2;B4DDL2	Q6PIW8;Q9H9E3;J3KNI1;A0A024QZ89;A2VCL3;Q8N8L9	Conserved oligomeric Golgi complex subunit 4	COG4	3HR0
24.61212	24.73583	25.04239	25.22913	24.61571	24.63727	24.50179	24.89611	24.96045	22.32335	25.28358	23.75471	24.93876	25.39274	25.06262	25.17535	25.28238	25.27295	25.33088	24.99723	0	3038000000	45	P29317;A0A024QZA8;B4DL04;B5A968;Q96HF4	P29317;A0A024QZA8;B4DL04	Ephrin type-A receptor 2	EPHA2	1MQB;2E8N;2K9Y;2KSO;2X10;2X11;3C8X;3CZU;3FL7;3HEI;3HPN;3KKA;3MBW;3MX0;3SKJ;4P2K;4PDO;4TRL
25.24176	25.07492	25.44679	25.40454	24.91365	24.85828	25.2753	25.29709	25.12849	25.54534	25.31907	25.44367	25.30935	25.05192	25.63157	25.20367	25.71429	25.86533	26.02335	25.70841	0	3589100000	47	O95400;A0A024QZC1;Q5QTR6	O95400;A0A024QZC1;Q5QTR6	CD2 antigen cytoplasmic tail-binding protein 2	CD2BP2	1GYF;1L2Z;1SYX;4BWS
29.70553	29.57358	29.26152	29.46614	29.49018	29.22186	28.90716	28.67044	28.15678	28.24236	26.6799	27.10609	29.06396	28.86523	28.98093	29.31205	28.69468	28.67785	28.81882	29.06522	0	44522000000	264	Q07020;A0A024QZD1;G3V203;J3QQ67;Q0QEW2;H0YHA7;F8VYV2;F8VUA6;B4DDY5;F8VXR6	Q07020;A0A024QZD1;G3V203;J3QQ67;Q0QEW2;H0YHA7;F8VYV2;F8VUA6;B4DDY5	60S ribosomal protein L18	RPL18	3J3B
28.25647	28.4775	28.43396	28.59395	28.44928	28.50309	28.61646	28.76995	28.88387	28.71201	28.69146	28.88515	27.9613	27.75532	27.93371	27.93983	28.09371	28.18324	28.05486	27.93258	0	20601000000	322	P08621;A0A024QZD5;A8KAQ5;B3KPV0;M0QYR1;M0QX04;Q9UFS1	P08621;A0A024QZD5;A8KAQ5	U1 small nuclear ribonucleoprotein 70 kDa	SNRNP70	2L5I;2L5J;3CW1;3PGW
23.63998	23.92751	24.0814	23.78037	23.14721	23.91114	23.52253	24.03255	23.7263	22.54119	23.98033	20.97963	24.04085	24.1303	24.30563	24.0639	24.10029	24.0354	23.87615	23.90848	0	1374500000	26	M0QYT9;E2GIM7;Q14653;A0A024QZE1;E2GIM5;M0R205;M0QZB8;M0QZB7;Q96GL3;M0R0X9;M0QXC8;E2GIM8;E2GIM9;M0R0R8;E2GIM6;M0R3C2	M0QYT9;E2GIM7;Q14653;A0A024QZE1;E2GIM5;M0R205;M0QZB8;M0QZB7;Q96GL3	Interferon regulatory factor 3	IRF3	1J2F;1QWT;1T2K;1ZOQ;2O61;2O6G;2PI0;3A77;3QU6
24.24285	24.30076	24.19798	24.66985	24.01988	24.01878	24.35171	24.4265	24.15684	22.42213	24.25133	24.52444	22.84619	22.47463	21.92032	22.64291	23.26355	21.64191	23.16253	23.99049	0	720620000	34	Q9NWS0;A0A024QZE9;M0QYA2;M0R3A4;M0QXD5;M0R2P8;M0QYF4;M0R0J2;M0R3A8;M0R028;M0QZM3	Q9NWS0;A0A024QZE9;M0QYA2;M0R3A4;M0QXD5;M0R2P8;M0QYF4	PIH1 domain-containing protein 1	PIH1D1	4PSF;4PSI
